Sezione,Ubicazione,Voti
1,"D'AZEGLIO V.D.MULINI A VENTO,2",12.0
2,"G.BORSI VIA DELLA CORONCINA,21",17.0
3,"D'AZEGLIO V.D.MULINI A VENTO,2",12.0
4,"D'AZEGLIO V.D.MULINI A VENTO,2",13.0
5,"D'AZEGLIO V.D.MULINI A VENTO,2",24.0
6,"C.BINI VIA C.BINI,22 INGR.CEN.",16.0
7,"C.BINI VIA C.BINI,22 INGR.CEN.",9.0
8,"C.BINI VIA C.BINI,22 INGR.CEN.",12.0
9,"C.BINI VIA C.BINI,22 INGR.CEN.",2.0
10,"C.BINI VIA C.BINI,22 INGR.CEN.",10.0
11,"C.BINI VIA C.BINI,22 INGR.CEN.",13.0
12,ISOLA DI GORGONA,0.0
13,"G.BORSI VIA DELLA CORONCINA,21",8.0
14,"G.BORSI VIA DELLA CORONCINA,21",14.0
15,"G.BORSI VIA DEI CAVALIERI,30",11.0
16,"G.BORSI VIA DELLA CORONCINA,21",7.0
17,"G.BORSI VIA DEI CAVALIERI,30",12.0
18,"G.BORSI VIA DELLA CORONCINA,21",7.0
19,"A.BENCI VIA BERNARDINA,35",9.0
20,"A.BENCI VIA BERNARDINA,35",13.0
21,"A.BENCI VIA BERNARDINA,35",8.0
22,"A.BENCI VIA BERNARDINA,35",8.0
23,"A.BENCI VIA BERNARDINA,35",6.0
24,"G.MICHELI PIAZ.LE XI MAGGIO,25",15.0
25,"G.MICHELI PIAZ.LE XI MAGGIO,25",8.0
26,"G.MICHELI PIAZ.LE XI MAGGIO,25",5.0
27,"G.MICHELI PIAZ.LE XI MAGGIO,25",7.0
28,"G.MICHELI PIAZ.LE XI MAGGIO,25",11.0
29,"G.MICHELI PIAZ.LE XI MAGGIO,25",4.0
30,"G.MICHELI PIAZ.LE XI MAGGIO,25",1.0
31,"G.MICHELI PIAZ.LE XI MAGGIO,25",6.0
32,"G.MICHELI PIAZ.LE XI MAGGIO,25",4.0
33,"MICHELANGELO VIA R.DUDLEY,3",17.0
34,"MICALI SUCC.VIA DEGLI ARCHI,66",11.0
35,"MICALI SUCC.VIA DEGLI ARCHI,66",15.0
36,"MICALI SUCC.VIA DEGLI ARCHI,66",32.0
37,"MICALI SUCC.VIA DEGLI ARCHI,66",28.0
38,"MICALI VIA MARRADI,120",30.0
39,"MICALI VIA MARRADI,120",15.0
40,"MICALI SUCC.VIA DEGLI ARCHI,66",19.0
41,"MICALI SUCC.VIA DEGLI ARCHI,66",17.0
42,"MICALI SUCC.VIA DEGLI ARCHI,66",9.0
43,"MICALI SUCC.VIA DEGLI ARCHI,66",24.0
44,"E.DE AMICIS VIALE G.MARCONI,77",17.0
45,"E.DE AMICIS VIALE G.MARCONI,77",32.0
46,"E.DE AMICIS VIALE G.MARCONI,77",9.0
47,"E.DE AMICIS VIALE G.MARCONI,77",15.0
48,"A.BENCI VIA A. NOVELLI, N. 1",13.0
49,"A.BENCI VIA A. NOVELLI, N. 1",8.0
50,"G.PAZZINI VIA SAN GAETANO,19",4.0
51,"G.PAZZINI VIA SAN GAETANO,19",13.0
52,"G.PAZZINI VIA SAN GAETANO,19",31.0
53,"G.PAZZINI VIA SAN GAETANO,19",19.0
54,"G.PAZZINI VIA SAN GAETANO,19",17.0
55,"MAZZINI SUCC.V.LE CARDUCCI,16",7.0
56,"G.MAZZINI V.GIOV.T.TOZZETTI,5",3.0
57,"MAZZINI SUCC.V.LE CARDUCCI,16",3.0
58,"G.MAZZINI V.GIOV.T.TOZZETTI,5",13.0
59,"G.MAZZINI V.GIOV.T.TOZZETTI,5",10.0
60,OSPEDALE CIVILE,3.0
61,OSPEDALE CIVILE,3.0
62,"V.CORRIDI V.DI COLLINAIA,19",13.0
63,"MAZZINI SUCC.V.LE CARDUCCI,16",12.0
64,"G.MAZZINI V.GIOV.T.TOZZETTI,5",19.0
65,"G.PUCCINI VIA E.ZOLA,75",12.0
66,"G.PUCCINI VIA E.ZOLA,75",7.0
67,"G.PUCCINI VIA E.ZOLA,75",10.0
68,"G.PUCCINI VIA E.ZOLA,75",1.0
69,"S.M. 'FERMI' VIA N.STENONE,12",13.0
70,"S.M. 'FERMI' VIA N.STENONE,12",5.0
71,"S.M. 'FERMI' VIA N.STENONE,12",7.0
72,"S.M. 'FERMI' VIA N.STENONE,12",2.0
73,"G.MICHELI PIAZ.LE XI MAGGIO,25",2.0
74,"G.MICHELI PIAZ.LE XI MAGGIO,25",9.0
75,"G.MICHELI PIAZ.LE XI MAGGIO,25",18.0
76,"G.MICHELI PIAZ.LE XI MAGGIO,25",6.0
77,"A.MODIGLIANI VIA AGNOLETTI,3",7.0
78,"A.MODIGLIANI VIA AGNOLETTI,3",10.0
79,"A.MODIGLIANI VIA AGNOLETTI,3",9.0
80,"G.FATTORI VIA T.SCALI,72",15.0
81,"G.FATTORI VIA T.SCALI,72",12.0
82,"P.THOUAR VIA DELLE SORGENTI,39",10.0
83,"P.THOUAR VIA DELLE SORGENTI,39",3.0
84,"P.THOUAR VIA DELLE SORGENTI,39",9.0
85,"P.THOUAR VIA DELLE SORGENTI,39",4.0
86,"MICHELANGELO VIA R.DUDLEY,3",5.0
87,"MICHELANGELO VIA R.DUDLEY,3",6.0
88,"MICHELANGELO VIA R.DUDLEY,3",3.0
89,"MICHELANGELO VIA R.DUDLEY,3",16.0
90,"MICHELANGELO VIA R.DUDLEY,3",18.0
91,"G.RODARI V.LE RISORGIMENTO,140",15.0
92,"G.RODARI V.LE RISORGIMENTO,140",8.0
93,"G.RODARI V.LE RISORGIMENTO,140",4.0
94,"G.RODARI V.LE RISORGIMENTO,140",9.0
95,"G.RODARI V.LE RISORGIMENTO,140",8.0
96,A. RAZZAUTI VIA BASILICATA 17a,12.0
97,A. RAZZAUTI VIA BASILICATA 17a,11.0
98,A. RAZZAUTI VIA BASILICATA 17a,22.0
99,"C.COLLODI VIA DI SALVIANO,87",3.0
100,"C.COLLODI VIA DI SALVIANO,87",6.0
101,"C.COLLODI VIA DI SALVIANO,87",11.0
102,"C.COLLODI VIA DI SALVIANO,87",6.0
103,A. RAZZAUTI VIA BASILICATA 17a,12.0
104,A. RAZZAUTI VIA BASILICATA 17a,25.0
105,"P.ALBERTELLI V.P.ALBERTELLI,1",30.0
106,"P.ALBERTELLI V.P.ALBERTELLI,1",25.0
107,"P.ALBERTELLI V.P.ALBERTELLI,1",21.0
108,"P.ALBERTELLI V.P.ALBERTELLI,1",18.0
109,"BARTOLENA VIA E.BOIS,14",24.0
110,"P.ALBERTELLI V.P.ALBERTELLI,1",20.0
111,"BARTOLENA VIA E.BOIS,14",21.0
112,"BARTOLENA VIA E.BOIS,14",14.0
113,"BARTOLENA VIA E.BOIS,14",20.0
114,"R.NATALI VIA A.CECIONI,37",27.0
115,"R.NATALI VIA A.CECIONI,37",27.0
116,"R.NATALI VIA A.CECIONI,37",21.0
117,"R.NATALI VIA A.CECIONI,37",23.0
118,"B.BRIN VIA SARDEGNA,25",32.0
119,"B.BRIN VIA SARDEGNA,25",27.0
120,"B.BRIN VIA SARDEGNA,25",26.0
121,"B.BRIN VIA SARDEGNA,25",21.0
122,"B.BRIN VIA SARDEGNA,25",19.0
123,"B.BRIN VIA SARDEGNA,25",23.0
124,LAMBRUSCHINI VIA P.VILLARI,24.0
125,LAMBRUSCHINI VIA P.VILLARI,22.0
126,"C.CATTANEO VIA C.CATTANEO,5",13.0
127,"C.CATTANEO VIA C.CATTANEO,5",13.0
128,"C.CATTANEO VIA C.CATTANEO,5",36.0
129,"C.CATTANEO VIA C.CATTANEO,5",6.0
130,"C.CATTANEO VIA C.CATTANEO,5",10.0
131,"G.CARDUCCI P.ZA A.SFORZINI,18",20.0
132,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",19.0
133,"MEDIA 'BARTOLENA' P.SAN SIMONE,9",33.0
134,"G.CARDUCCI P.ZA A.SFORZINI,18",24.0
135,"EL.G.CARDUCCI V.D.PROVENZAL,27",30.0
136,"EL.G.CARDUCCI V.D.PROVENZAL,27",23.0
137,"EL.G.CARDUCCI V.D.PROVENZAL,27",39.0
138,"EL.G.CARDUCCI V.D.PROVENZAL,27",17.0
139,"EL.G.CARDUCCI V.D.PROVENZAL,27",32.0
140,"EL.G.CARDUCCI V.D.PROVENZAL,27",20.0
141,"ELEM.MONT.VIA DI MONTENERO,408",23.0
142,"ELEM.MONT.VIA DI MONTENERO,408",24.0
143,"'C.BARTOLENA' VIA MICHEL,8",24.0
144,"'C.BARTOLENA' VIA MICHEL,8",28.0
145,"CASTELLAC.VIA QUERCIANELLA,126",14.0
146,"CEN.SOC.CULT.RIC.V.P.NARDINI,8",15.0
147,"A.GRAMSCI VIA CAMPANIA, 39",10.0
148,"A.GRAMSCI VIA CAMPANIA, 39",13.0
149,"A.GRAMSCI VIA CAMPANIA, 39",7.0
150,"A.GRAMSCI VIA CAMPANIA, 39",7.0
151,"A.GRAMSCI VIA CAMPANIA, 39",7.0
152,"A.GRAMSCI VIA CAMPANIA, 39",12.0
153,"A.GRAMSCI VIA CAMPANIA, 39",23.0
154,"A.GRAMSCI VIA CAMPANIA, 39",14.0
155,"P.THOUAR VIA D.NICCODEMI,1",7.0
156,"P.THOUAR VIA D.NICCODEMI,1",14.0
157,"V.CORRIDI V.VEC.LAZZERETTO,26",10.0
158,"V.CORRIDI V.VEC.LAZZERETTO,26",10.0
159,"V.CORRIDI V.VEC.LAZZERETTO,26",13.0
160,"V.CORRIDI V.VEC.LAZZERETTO,26",8.0
161,"V.CORRIDI V.DI COLLINAIA,19",15.0
162,"V.CORRIDI V.DI COLLINAIA,19",13.0
163,"V.CORRIDI V.DI COLLINAIA,19",13.0
164,"V.CORRIDI V.DI COLLINAIA,19",15.0
165,"LAMBRUSCHINI VIA P.VILLARI,8",9.0
166,"'C.BARTOLENA' VIA MICHEL,8",8.0
167,"'C.BARTOLENA' VIA MICHEL,8",9.0
168,"LAMBRUSCHINI VIA P.VILLARI,8",12.0
169,"'C.BARTOLENA' VIA MICHEL,8",8.0
170,"'C.BARTOLENA' VIA MICHEL,8",13.0
171,"V.CORRIDI V.DI COLLINAIA,19",19.0
172,"V.CORRIDI V.DI COLLINAIA,19",9.0
